Timeline,Oxygen Consumption,Ammonia Nitrogen,PH,Dissolved Oxygen
2012-08-01 00:00:00.0,6.6789,0.0276,8.1862,5.4586
2012-08-01 00:30:00.0,6.6782,0.02,8.1351,5.4082
2012-08-01 01:00:00.0,6.7732,0.02,8.0821,5.2854
2012-08-01 01:30:00.0,6.7728,0.0211,8.0315,5.1605
2012-08-01 02:00:00.0,6.7732,0.02,8.0134,5.0621
2012-08-01 02:30:00.0,6.7724,0.02,8.0169,5.036
2012-08-01 03:00:00.0,5.8219,0.02,8.0153,5.0599
2012-08-01 03:30:00.0,5.8235,0.02,8.0106,5.0367
2012-08-01 04:00:00.0,5.8231,0.02,7.9754,4.9619
2012-08-01 04:30:00.0,5.8231,0.02,7.9664,4.9869
2012-08-01 05:00:00.0,5.8384,0.02,7.9592,4.9619
2012-08-01 05:30:00.0,5.8384,0.02,7.9883,4.935
2012-08-01 06:00:00.0,5.8384,0.02,7.9713,4.8863
2012-08-01 06:30:00.0,5.8392,0.02,7.9878,4.9365
2012-08-01 07:00:00.0,5.6645,0.0465,7.9985,4.9626
2012-08-01 07:30:00.0,5.6641,0.0597,8.0007,5.0113
2012-08-01 08:00:00.0,5.6645,0.0215,7.9554,5.0632
2012-08-01 08:30:00.0,5.6633,0.0838,7.8765,5.0374
2012-08-01 09:00:00.0,5.9805,0.02,7.8435,5.0396
2012-08-01 09:30:00.0,5.9805,0.02,7.846,5.0392
2012-08-01 10:00:00.0,5.9813,0.0206,7.8416,4.9659
2012-08-01 10:30:00.0,5.9805,0.0221,7.8427,5.0389
2012-08-01 11:00:00.0,5.8694,0.02,7.8394,5.0657
2012-08-01 11:30:00.0,5.8702,0.0218,7.8537,5.0886
2012-08-01 12:00:00.0,5.8698,0.02,7.8683,5.0134
2012-08-01 12:30:00.0,5.8694,0.02,7.9389,5.1129
2012-08-01 13:00:00.0,5.7587,0.02,7.976,5.1903
2012-08-01 13:30:00.0,5.7583,0.02,7.9867,5.2379
2012-08-01 14:00:00.0,5.7591,0.02,7.9771,5.1907
2012-08-01 14:30:00.0,5.7583,0.02,7.976,5.215
2012-08-01 15:00:00.0,6.4783,0.02,7.9625,5.1892
2012-08-01 15:30:00.0,6.4779,0.0203,7.9359,5.167
2012-08-01 16:00:00.0,6.4776,0.02,7.8883,5.065
2012-08-01 16:30:00.0,6.4764,0.02,7.9361,5.0661
2012-08-01 17:00:00.0,6.2538,0.02,8.0117,5.1663
2012-08-01 17:30:00.0,6.255,0.02,8.0958,5.313
2012-08-01 18:00:00.0,6.2546,0.02,8.1815,5.2862
2012-08-01 18:30:00.0,6.2561,0.02,8.2357,5.5345
2012-08-01 19:00:00.0,6.7473,0.02,8.2469,5.6322
2012-08-01 19:30:00.0,6.748,0.0209,8.2255,5.6576
2012-08-01 20:00:00.0,6.7488,0.02,8.2302,5.3835
2012-08-01 20:30:00.0,6.7492,0.02,8.2327,5.4823
2012-08-01 21:00:00.0,7.3267,0.02,8.2557,5.3828
