Timeline,Oxygen Consumption,Ammonia Nitrogen,PH,Dissolved Oxygen
00:00.0,6.6789,0.0276,8.1862,5.4586
30:00.0,6.6782,0.02,8.1351,5.4082
00:00.0,6.7732,0.02,8.0821,5.2854
30:00.0,6.7728,0.0211,8.0315,5.1605
00:00.0,6.7732,0.02,8.0134,5.0621
30:00.0,6.7724,0.02,8.0169,5.036
00:00.0,5.8219,0.02,8.0153,5.0599
30:00.0,5.8235,0.02,8.0106,5.0367
00:00.0,5.8231,0.02,7.9754,4.9619
30:00.0,5.8231,0.02,7.9664,4.9869
00:00.0,5.8384,0.02,7.9592,4.9619
30:00.0,5.8384,0.02,7.9883,4.935
00:00.0,5.8384,0.02,7.9713,4.8863
30:00.0,5.8392,0.02,7.9878,4.9365
00:00.0,5.6645,0.0465,7.9985,4.9626
30:00.0,5.6641,0.0597,8.0007,5.0113
00:00.0,5.6645,0.0215,7.9554,5.0632
30:00.0,5.6633,0.0838,7.8765,5.0374
00:00.0,5.9805,0.02,7.8435,5.0396
30:00.0,5.9805,0.02,7.846,5.0392
00:00.0,5.9813,0.0206,7.8416,4.9659
30:00.0,5.9805,0.0221,7.8427,5.0389
00:00.0,5.8694,0.02,7.8394,5.0657
30:00.0,5.8702,0.0218,7.8537,5.0886
00:00.0,5.8698,0.02,7.8683,5.0134
30:00.0,5.8694,0.02,7.9389,5.1129
00:00.0,5.7587,0.02,7.976,5.1903
30:00.0,5.7583,0.02,7.9867,5.2379
00:00.0,5.7591,0.02,7.9771,5.1907
30:00.0,5.7583,0.02,7.976,5.215
00:00.0,6.4783,0.02,7.9625,5.1892
30:00.0,6.4779,0.0203,7.9359,5.167
00:00.0,6.4776,0.02,7.8883,5.065
30:00.0,6.4764,0.02,7.9361,5.0661
00:00.0,6.2538,0.02,8.0117,5.1663
30:00.0,6.255,0.02,8.0958,5.313
00:00.0,6.2546,0.02,8.1815,5.2862
30:00.0,6.2561,0.02,8.2357,5.5345
00:00.0,6.7473,0.02,8.2469,5.6322
30:00.0,6.748,0.0209,8.2255,5.6576
00:00.0,6.7488,0.02,8.2302,5.3835
30:00.0,6.7492,0.02,8.2327,5.4823
00:00.0,7.3267,0.02,8.2557,5.3828
30:00.0,7.3267,0.02,8.2516,5.4568
00:00.0,7.3271,0.0212,8.1931,5.2843
30:00.0,7.3275,0.02,8.1403,5.236
00:00.0,6.1788,0.02,8.076,5.1598
30:00.0,6.1792,0.0223,8.0455,5.085
00:00.0,6.1788,0.02,8.0276,4.9858
30:00.0,6.1792,0.4915,7.9894,5.1097
00:00.0,5.6798,0.02,7.9716,5.036
30:00.0,5.6806,0.02,7.9611,4.9633
00:00.0,5.681,0.02,7.9218,4.8627
30:00.0,5.681,0.3855,7.8606,4.8373
00:00.0,5.1341,0.3905,7.7979,4.7367
30:00.0,5.1341,0.3598,7.7506,4.6539
00:00.0,5.1337,0.02,7.6905,4.5392
30:00.0,5.1345,0.02,7.6311,4.5664
00:00.0,5.3559,0.02,7.5984,4.5406
30:00.0,5.3559,0.0204,7.5973,4.4923
00:00.0,5.3567,0.0218,7.5956,4.3692
30:00.0,5.3552,0.02,7.5767,4.4426
00:00.0,5.2362,0.02,7.5421,4.4905
30:00.0,5.237,0.02,7.5531,4.4923
00:00.0,5.237,0.02,7.5929,4.4658
30:00.0,5.237,0.02,7.5907,4.5904
00:00.0,5.3791,0.02,8.5053,4.6409
30:00.0,5.3795,0.02,8.4228,6.2467
30:00.0,5.3795,0.02,8.4173,6.2979
00:00.0,5.3555,0.02,8.4132,6.3204
30:00.0,5.3555,0.0214,8.4934,6.3719
00:00.0,5.3563,0.02,8.3516,6.3469
30:00.0,5.3563,0.02,8.2687,6.3454
00:00.0,5.7046,0.02,8.2692,6.3222
30:00.0,5.7046,0.0235,8.3261,6.3215
00:00.0,5.7046,0.02,8.2838,6.2997
30:00.0,5.7046,0.02,8.2697,6.3716
00:00.0,6.3857,0.02,8.2711,6.3712
30:00.0,6.3849,0.02,8.2643,6.3959
00:00.0,6.3853,0.02,8.1587,6.2724
30:00.0,6.3857,0.02,8.1095,6.2732
00:00.0,6.1784,0.0336,8.1145,6.2477
30:00.0,6.1788,0.0724,8.1826,6.2728
00:00.0,6.1804,0.0585,8.2054,6.348
30:00.0,6.1792,0.02,8.2024,6.4467
00:00.0,6.2432,0.02,8.2469,6.4471
30:00.0,6.2428,0.02,8.2134,6.4449
00:00.0,6.2424,0.02,8.1689,6.2459
30:00.0,6.2424,0.02,8.1791,6.2456
00:00.0,6.1317,0.073,8.2013,6.2728
30:00.0,6.1321,0.0215,8.253,6.2979
00:00.0,6.1325,0.02,8.2294,6.1722
30:00.0,6.1321,0.02,8.2546,6.2477
00:00.0,5.6323,0.02,8.2667,6.2448
30:00.0,5.6331,0.02,8.2827,6.198
00:00.0,5.6331,0.02,8.2145,6.1475
30:00.0,5.6331,0.0215,8.1626,6.0734
00:00.0,5.4349,0.0224,8.0865,6.0219
30:00.0,5.4356,0.02,8.0722,5.9482
00:00.0,5.4356,0.02,8.0123,5.898
30:00.0,5.4352,0.02,7.937,5.7764
00:00.0,5.3398,0.0776,7.9004,5.7027
30:00.0,5.3398,0.02,7.8957,5.6271
00:00.0,5.3398,0.02,7.8345,5.5756
30:00.0,5.3402,0.02,7.8152,5.5531
00:00.0,5.6182,0.0242,7.8985,5.5534
30:00.0,5.617,0.02,8.0889,5.6504
00:00.0,5.6166,0.0264,8.1337,5.7256
30:00.0,5.617,0.0347,8.0727,5.8501
00:00.0,5.1341,0.02,7.9133,5.8018
30:00.0,5.1341,0.02,7.8507,5.7038
00:00.0,5.1345,0.02,7.8834,5.7277
